epsilon,bid,violation_rate_in (%),violation_rate_out (%),sf_in,sf_out,sf95_out
0.0,220.0,0.0,0.0,0.0,0.0,0.0
0.02,234.0,1.9333333333333333,2.2416666666666667,0.141,0.15816666666666668,0.0
0.04,244.0,3.8,4.691666666666667,0.43516666666666665,0.5129166666666667,0.0
0.06,255.0,6.0,7.733333333333333,0.9846666666666667,1.1999166666666667,10.0
0.08,263.0,7.766666666666666,9.983333333333333,1.5463333333333333,1.91475,18.0
0.1,271.0,9.8,12.516666666666667,2.261,2.8325833333333335,26.0
0.12,279.0,12.0,15.024999999999999,3.142,3.9415833333333334,34.0
0.14,285.0,13.733333333333334,16.841666666666665,3.9258333333333333,4.905916666666666,40.0
0.16,292.0,15.966666666666669,19.066666666666666,4.979166666666667,6.176333333333333,47.0
0.18,298.0,17.916666666666668,20.9,6.003333333333333,7.381583333333333,53.0
0.2,304.0,19.900000000000002,22.966666666666665,7.152166666666667,8.7075,59.0
